from_id,to_id,mode,intra_or_inter,reason,distance_km,time_base_min,time_min,cost_base_rs,cost_rs,region_from,region_to
JET_MMTS,SC_MMTS,mmts,intra,South_corridor,1.5264826350694265,6.052965270138853,7.566206587673566,7.654210150234348,7.654210150234348,R1,R3
JET_MMTS,SJVP_MMTS,mmts,intra,South_corridor,1.1548267190413437,5.309653438082687,6.371584125699225,6.934207280918876,6.934207280918876,R3,R3
SJVP_MMTS,JET_MMTS,mmts,intra,South_corridor,1.1548267190413437,5.309653438082687,6.371584125699225,6.934207280918876,6.934207280918876,R3,R3
SJVP_MMTS,HYB_MMTS,mmts,intra,South_corridor,4.8959577221154165,12.791915444230831,16.62949007750008,12.96113341233178,12.96113341233178,R3,R2
HYB_MMTS,SJVP_MMTS,mmts,intra,South_corridor,4.8959577221154165,12.791915444230831,16.62949007750008,12.96113341233178,12.96113341233178,R3,R2
HYB_MMTS,KCG_MMTS,mmts,intra,South_corridor,3.436866016789242,9.873732033578484,13.823224847009875,10.866169956946736,10.866169956946736,R2,R2
KCG_MMTS,HYB_MMTS,mmts,intra,South_corridor,3.436866016789242,9.873732033578484,13.823224847009875,10.866169956946736,10.866169956946736,R2,R2
KCG_MMTS,MXT_MMTS,mmts,intra,South_corridor,1.5426690172173183,6.085338034434637,8.51947324820849,7.825983772633797,7.825983772633797,R2,R2
MXT_MMTS,KCG_MMTS,mmts,intra,South_corridor,1.5426690172173183,6.085338034434637,8.51947324820849,7.825983772633797,7.825983772633797,R2,R2
MXT_MMTS,HPG_MMTS,mmts,intra,South_corridor,4.140682985952059,11.281365971904115,15.793912360665765,11.995796192453057,11.995796192453057,R2,R2
HPG_MMTS,MXT_MMTS,mmts,intra,South_corridor,4.140682985952059,11.281365971904115,15.793912360665765,11.995796192453057,11.995796192453057,R2,R2
HPG_MMTS,YKA_MMTS,mmts,intra,South_corridor,2.315967657532899,7.631935315065798,10.684709441092116,9.067128090340304,9.067128090340304,R2,R2
YKA_MMTS,HPG_MMTS,mmts,intra,South_corridor,2.315967657532899,7.631935315065798,10.684709441092116,9.067128090340304,9.067128090340304,R2,R2
